,tweet_id,retweet_count,favorite_count
143,863427515083354112,97,2272
144,863079547188785154,1115,8792
145,863062471531167744,2480,8557
146,862831371563274240,5153,19224
147,862722525377298433,3568,17129
148,862457590147678208,5021,20618
149,862096992088072192,23599,74856
150,861383897657036800,10860,36246
151,861288531465048066,4214,17288
152,861005113778896900,3850,16802
153,860981674716409858,2188,0
154,860924035999428608,835,0
155,860563773140209665,2188,7559
156,860524505164394496,5370,23777
157,860276583193509888,3532,18421
158,860184849394610176,5945,16801
159,860177593139703809,31430,0
160,859924526012018688,4169,19694
161,859851578198683649,3572,15530
162,859607811541651456,1604,18745
163,859196978902773760,30807,90627
164,859074603037188101,13886,34167
165,858860390427611136,8325,0
166,858843525470990336,3551,15690
167,858471635011153920,4952,21713
168,858107933456039936,2980,15891
169,857989990357356544,2644,16302
170,857746408056729600,10886,34668
171,857393404942143489,1689,5983
172,857263160327368704,4628,20244
173,857214891891077121,18,230
174,857062103051644929,177,0
175,857029823797047296,4116,19169
176,856602993587888130,10984,0
177,856543823941562368,2957,16486
178,856526610513747968,1934,12010
179,856330835276025856,701,0
180,856288084350160898,17,526
181,856282028240666624,6503,28134
182,855862651834028034,28,352
183,855860136149123072,1060,5123
184,855857698524602368,2178,12031
185,855851453814013952,18257,46152
186,855818117272018944,5601,27049
187,855459453768019968,8479,30443
188,855245323840757760,6184,0
189,855138241867124737,47,0
190,854732716440526848,6329,23279
191,854482394044301312,7115,29886
192,854365224396361728,4863,19285
193,854120357044912130,7769,32634
194,854010172552949760,3274,16543
195,853760880890318849,6020,29219
196,853639147608842240,10559,35643
197,853299958564483072,3721,15898
198,852936405516943360,2093,0
199,852912242202992640,1916,9289
200,852672615818899456,2251,15296
201,852553447878664193,3669,16794
202,852311364735569921,10321,33980
203,852226086759018497,7104,20549
204,852189679701164033,1662,11776
205,851953902622658560,10076,0
206,851861385021730816,23,0
207,851591660324737024,3635,16672
208,851464819735769094,7419,24968
209,851224888060895234,5991,21299
210,850753642995093505,9731,31940
211,850380195714523136,2746,13455
212,850333567704068097,350,3538
213,850145622816686080,4024,16838
214,850019790995546112,5149,21101
215,849776966551130114,7987,31448
216,849668094696017920,5215,0
217,849412302885593088,3305,16399
218,849336543269576704,1990,11803
219,849051919805034497,8967,43895
220,848690551926992896,4549,26057
221,848324959059550208,4841,25596
222,848213670039564288,786,8458
223,848212111729840128,3240,16900
224,847978865427394560,3442,0
225,847971574464610304,449,0
226,847962785489326080,5388,24344
227,847842811428974592,1419,5671
228,847617282490613760,447,7263
229,847606175596138505,3583,19453
230,847251039262605312,4542,21212
231,847157206088847362,6190,20685
232,847116187444137987,3379,22209
233,846874817362120707,4155,20830
234,846514051647705089,12278,46340
235,846505985330044928,3267,14636
236,846153765933735936,9605,32924
237,846139713627017216,10460,32076
238,846042936437604353,3067,16614
239,845812042753855489,9268,30457
240,845677943972139009,5071,26104
241,845397057150107648,1916,7932
242,845306882940190720,5718,24251
243,845098359547420673,8124,0
244,844979544864018432,2744,14167
245,844973813909606400,3414,15716
246,844704788403113984,10984,40296
247,844580511645339650,3336,17155
248,844223788422217728,2338,14194
249,843981021012017153,3110,15755
250,843856843873095681,4921,22297
251,843604394117681152,2930,17604
252,843235543001513987,6432,22412
253,842846295480000512,3829,15871
254,842765311967449089,1356,7034
255,842535590457499648,3732,18877
256,842163532590374912,6184,25531
257,842115215311396866,3229,14614
258,841833993020538882,16342,0
259,841680585030541313,8264,26756
260,841439858740625411,3920,13181
261,841320156043304961,5798,20643
262,841314665196081154,5006,16536
263,841077006473256960,5668,23896
264,840761248237133825,1872,0
265,840728873075638272,17264,0
266,840698636975636481,2,185
267,840696689258311684,1043,12841
268,840632337062862849,1872,9379
269,840370681858686976,4861,17210
270,840268004936019968,6129,20165
271,839990271299457024,2454,14044
272,839549326359670784,8325,28798
273,839290600511926273,154,0
274,839239871831150596,6997,28479
275,838952994649550848,4252,20529
276,838921590096166913,2222,11699
277,838916489579200512,36,0
278,838831947270979586,11823,0
279,838561493054533637,1418,11440
280,838476387338051585,5153,23657
281,838201503651401729,10806,0
282,838150277551247360,354,1761
